100

6350	3650

20	90

0	59990	66680	92550	79260	86001	60260	28670	73070	97781	74670	75101	72130	30420	99020	33730	38000	47320	11610	89690	71870	69530	77490	73370	68300	60430	66400	93060	28690	71630	10480	61140	75670	76690	79420	31090	8400	49510	77120	40820	64870	94960	19010	60300	55850	33150	93900	73110	45431	44020	65410	51960	19140	73410	23030	40850	27610	64740	15290	73900	79590	49980	15470	95130	88410	49490	46300	82540	67971	94110	10380	78450	74390	21430	92110	64870	93770	39900	82150	47290	38090	44630	85910	41030	84740	85600	94310	96310	80660	47150	10540	85130	15040	43000	54260	61280	57610	11500	33660	99450	38951	
59200	0	117480	106950	87090	105350	106340	83220	66001	120290	100620	108970	118031	56020	149941	41700	83690	77500	64740	104090	127720	42530	39690	68110	51661	48151	60030	74700	76280	53991	67190	82491	46210	70840	133110	29740	52530	78650	97080	19050	38250	56200	42130	74190	112110	77470	83001	31230	87100	17150	61470	107120	40270	88590	65730	97110	77100	106310	51040	109850	135460	64780	72730	109530	145350	44150	24020	65901	95140	120060	50810	32120	88790	69980	95190	24930	101790	89170	126640	96560	67330	15690	54440	93000	69351	79311	96290	49980	64021	62380	49420	47250	45450	37110	50940	12930	101050	66170	57510	82811	75770	
66560	117310	0	145440	137351	60860	13890	57391	133641	135640	44170	101880	72720	88441	78890	94771	73290	96651	56710	145460	54080	130571	142101	133131	129341	121351	87650	108171	71871	132671	62861	54300	136711	91561	17450	87920	73920	51110	123910	97920	125911	159741	84530	116961	29130	39540	154101	137411	82190	101120	125171	53020	76250	128351	52820	46370	68221	85910	65760	29330	27820	68960	55621	145700	40870	89460	112020	144101	106490	56210	68460	128150	131051	73251	88780	129171	82700	66690	28050	66750	88301	104020	122060	25550	146301	145361	153831	144790	142221	68190	76060	148961	80560	88730	84250	118600	82210	55920	62570	161871	85801	
91680	106610	145660	0	23140	172983	148190	90560	56010	33050	162880	51380	89990	63840	119250	67700	76020	60880	102110	5450	113230	81690	96400	51090	74520	71200	145750	167610	76520	76020	89020	145972	87880	156560	156840	105230	89460	136550	22380	103910	79680	112310	86980	33780	118800	121240	51560	99821	63590	103660	53610	100020	99710	20460	112520	100750	80730	66500	101860	163100	138480	133230	93610	6920	140050	125520	85650	78230	40180	182320	96960	135410	20210	80000	177290	93111	178950	80480	171350	81910	62480	98250	153010	125150	66040	45870	27800	153340	76350	130400	87060	101540	91240	118860	133620	115960	68210	97750	117820	87330	64200	
79160	87100	137421	23140	0	155893	137010	80571	34210	46370	145790	58180	92290	52190	124270	50190	69671	52001	90340	19050	114950	59890	74600	29650	52720	50010	127650	149530	66531	54320	77950	130812	66080	138460	150161	87720	75160	122790	25530	86400	57880	90510	69980	22490	112911	110170	34840	78021	61711	86150	32070	96521	82830	13970	100710	94531	70741	68800	88100	150920	135061	118070	82540	28340	142350	108010	64820	60540	41790	165230	83200	115900	12550	68930	160170	71311	161830	75541	159680	79961	52491	80740	135080	113970	48350	28900	19790	133521	58660	115240	72050	79740	74360	101350	116110	96450	69480	86680	102660	69780	55321	
85821	105330	60960	173012	155772	0	47980	95700	146852	178450	16770	153160	132470	108702	138970	107512	113060	130332	76780	170082	114160	138732	143942	146732	141552	131922	49010	57250	106740	144882	88690	27160	144942	51730	75480	79662	84642	38720	158322	88660	133312	159130	87822	139982	89210	57150	167922	135620	122890	89110	139202	110540	74542	153582	66280	97920	103230	136850	72271	34500	87470	44981	86880	175592	100520	65660	110472	155992	147580	21860	75791	96050	154582	103470	29660	128512	22520	107990	44660	115410	120292	94850	79840	68280	158682	159622	170732	111031	154082	46001	85132	149590	82052	69190	54800	94430	129720	79450	53331	172902	120670	
60210	106090	13770	148210	136890	48160	0	60020	130560	141050	31470	113380	85610	88120	91780	91220	77670	98170	49490	145890	66970	126110	132740	130870	125790	117920	74950	95471	73390	129120	60000	41600	132300	78861	30690	76700	65610	38410	128330	86700	121330	150371	74480	116500	42020	28320	151630	126191	87500	89900	122910	64960	65030	129500	41600	53540	69880	97410	54540	18830	40280	56260	55300	150240	53330	78240	100800	140550	111900	45710	57240	116440	130590	73040	76080	117951	70000	72310	23170	75970	89450	92800	108301	23530	142750	143330	153370	132220	138670	55490	67260	140380	69740	77510	71550	107380	91810	50530	51350	157590	87320	
28440	82290	57911	91040	81591	95930	60530	0	82100	82720	82960	58900	44950	33690	72050	44530	18510	40120	26440	89811	44900	80610	92340	81590	78510	70640	88810	115470	15340	81840	18760	75830	86750	99100	70651	57000	34310	63770	69650	66730	75950	109980	42730	60431	33970	39830	101860	88720	28340	69930	73630	24990	45050	71820	36850	15590	11690	44020	37590	78170	57710	68910	14360	91440	66530	73740	64980	93220	53570	102400	35170	104360	74511	17160	111970	80240	109010	14520	83120	22940	31770	69150	110630	37490	95420	93560	97791	122220	91340	66080	34890	99200	40890	68910	77030	87190	36890	21530	51380	111210	29270	
72960	66201	133691	56070	34110	146913	131190	82560	0	78070	136810	82210	104810	48880	137450	39680	76820	59343	84140	51980	124983	32650	47360	6170	21870	21320	115520	135080	69410	21400	74130	121550	38840	126330	146431	74410	67070	113810	53690	71950	30640	63270	59830	32170	114970	103470	23670	50781	69053	71700	10030	103460	72090	42130	91730	96500	73620	82890	79120	142060	144140	109090	78720	61270	152415	95880	45460	28240	63040	156250	74220	95081	41520	68670	150680	44071	152550	82300	153080	87303	54780	66290	117401	110240	16750	16680	33570	106281	26360	106260	63960	52500	65380	89220	103800	76031	80850	82860	93230	40280	62450	
97691	120280	135690	32990	46290	179320	141290	82820	77980	0	164260	35110	74420	70900	96140	81050	66050	61030	103510	35180	98220	103400	118110	73420	96230	92070	154160	180160	72650	98090	91590	153032	109590	164970	146100	113920	96520	140840	24630	117580	101390	134020	95160	50000	108510	121000	79000	121531	54390	117330	74480	88560	107360	36270	113920	90780	76930	51210	108920	158930	127330	140290	91260	27860	123930	134080	99900	105440	31620	185790	104020	149080	39840	80900	184820	113380	186480	70510	163610	71540	64930	111920	166680	118250	93300	73170	56420	167010	103560	137460	94120	123250	98890	127420	142180	129630	56530	98600	124880	114730	62510	
