150

6350	3650

20	90

0	6940	93870	68420	56490	93760	65320	75680	62700	79410	28390	39440	74730	23820	30230	97680	72100	65090	87500	83170	98030	64340	27430	81100	59310	61520	77590	30740	95681	46900	85730	47860	93220	56650	86030	17690	79470	53960	76560	33640	62340	63080	43550	69350	81890	93660	83050	26090	51240	39990	42920	50080	99840	65360	98740	21340	79610	46281	75760	67031	36400	54260	11000	73750	13180	87960	85780	49010	69620	73430	5160	19900	63520	57820	40550	83100	9040	94951	77552	60280	79510	74180	96140	86040	45390	76690	80880	87472	93992	43751	81290	95070	65350	26610	87240	14510	83351	67940	19990	60730	51540	10090	78510	78500	80950	41150	9340	41100	88660	45490	34320	98830	75750	57190	90960	84190	30890	72480	54700	73731	19650	80970	38810	82651	72810	80521	65330	68520	68210	57220	16260	71991	94280	32920	67390	38640	96240	86552	61150	12050	75670	79640	77450	52500	14230	88540	36691	80340	64960	79330	32580	
6810	0	97130	67400	50760	87150	60510	78940	58810	85660	34640	33760	75360	27520	31490	98940	76980	64070	83950	79620	102611	63000	32310	77650	54500	54910	74040	27280	88771	47190	88990	51120	87490	52300	90910	11080	74660	47350	70880	30090	58890	63760	36940	65800	86471	99261	82030	19800	57470	33380	38110	54611	96650	71140	95290	26620	85830	49080	72310	60121	40531	47650	17250	69860	16730	84510	87040	44200	66170	67750	7090	12990	68660	52140	35740	79210	5380	88041	78490	63540	75880	79060	100641	80310	38780	70960	74270	84700	92652	36841	80270	98330	59620	26040	93490	13170	76441	67120	18650	59390	51820	14970	84760	81760	85830	39810	11870	45980	82050	51740	38941	92861	81100	61691	94220	77580	24060	65870	55290	76530	17870	76160	33150	76361	68000	73611	69911	63710	73560	56200	9970	74650	95540	38850	73170	32030	95220	87460	54540	5760	80550	83050	76430	45890	20480	91800	29781	82950	61510	78310	35840	
93600	96690	0	154390	145401	173250	157480	20150	151020	85090	95130	96590	35970	102930	68260	29910	36490	151060	175600	171190	106160	75881	69760	169120	150930	134260	165690	88770	184080	59620	18390	47500	184002	145590	47890	101990	170800	135110	118071	121320	150320	137740	124700	157450	97810	98900	168441	99970	79090	111000	133750	99980	114440	94840	186760	95340	79880	118140	162090	149640	106360	128900	92050	162600	80480	175980	25920	140630	155900	108111	97910	106830	65810	103360	132170	171950	92950	180970	152531	34380	103321	48620	118900	175070	121060	166220	159340	98811	92220	130681	166111	6220	154281	78610	92480	86310	167650	150990	87470	78390	68450	84320	81760	20790	46680	85930	99200	55090	166720	85040	104280	188812	69790	108140	14830	139471	113680	150910	132070	130230	110200	172420	127900	126451	163711	164820	97030	158900	74350	143410	98420	135430	21500	76610	89710	119790	176061	159050	123730	96250	57860	24540	162841	123500	95260	6410	123530	141260	152980	164721	64910	
68730	67830	155590	0	75570	118700	67150	136300	46730	88410	65110	96820	140280	53390	96211	161900	122640	4910	51231	40240	86630	130451	85040	35640	71560	102460	39061	92620	117490	113001	146350	111370	106550	52960	135010	71660	92340	90720	128351	38690	16750	21390	83150	32351	75330	88700	15470	82890	81440	88480	63880	61590	165590	76030	51550	58830	92980	40870	27120	90380	51040	97180	63940	54481	78900	40780	150000	55580	20930	131800	63950	68470	98140	115200	58010	64311	73210	116760	18510	120630	143680	114690	72890	100950	89620	91600	111520	152500	160103	73210	14280	156790	79160	93870	90090	81000	106240	9870	86480	126410	118641	75000	91670	138390	121460	105710	60080	98710	116880	73760	54820	111750	105300	54180	154470	130200	73530	102010	25190	38240	50450	92110	66080	133231	85300	103410	71920	65340	93790	12120	74560	32460	158150	81400	81340	82260	29230	26490	109780	73590	113200	134180	10440	100900	69190	150260	71970	33210	18920	12320	94840	
56410	50420	146090	75180	0	44592	23480	127900	42971	121350	73690	59990	121090	62000	79870	145300	127400	71850	69900	75390	134030	95340	82730	74100	13250	37060	67691	61760	42180	91990	137950	100080	37670	30500	141330	43830	26020	25320	73190	39900	61870	78370	26280	59451	117890	130680	89810	49930	98160	40380	14260	86970	111970	105130	91570	64630	122260	74890	75240	16660	72370	33420	61130	42650	66900	81740	133400	21750	69050	80710	52790	41950	113250	70550	20030	42680	54230	41450	88810	112500	93160	127020	127110	30490	32000	21140	37800	103110	124410	15340	88050	147290	11870	69360	127800	60070	31410	74900	61970	91730	88030	65390	121160	130720	133790	71820	55170	96400	41560	91740	72470	43280	123820	88160	143180	64780	32550	28290	71590	96251	43150	28400	19120	75920	21380	28580	102270	26680	115210	63980	49200	91250	141900	85640	107710	28070	103000	98200	52420	50280	128510	132010	84210	41320	65120	140760	24500	98820	64390	86090	84890	
93800	87300	173170	117971	44261	0	64410	160720	84830	163991	114091	77970	141970	102401	105820	166280	162570	114641	106270	118321	176651	105800	117350	117031	54511	36720	110482	82380	21550	112520	170770	123900	38990	72781	176500	76610	45200	41640	61460	82361	104661	121161	51950	102242	160511	173301	132801	75750	138561	60460	56901	129411	97880	147571	134662	105031	164901	117351	118031	28140	114831	43410	101101	82410	99320	124671	154340	64541	111841	72100	92851	78640	153651	76850	62671	74220	86830	18490	131771	142220	80950	165760	169731	34850	51130	40340	14720	94000	115200	50600	131041	174370	49230	95460	170531	89490	19830	117691	88040	104770	108000	101310	163801	163540	171940	91700	95141	129910	8050	132141	113741	34010	164611	130621	165370	41460	63860	22670	114051	139042	83551	44510	59491	54440	45540	20850	144711	65470	155901	106771	79340	134041	162880	124550	150151	54960	145991	141191	51590	82850	167250	164830	127171	49210	105181	167230	60630	141611	107181	129081	114610	
64730	60160	157290	67310	23430	64521	0	139100	21930	121060	78750	79290	136310	64150	91650	159260	135460	64600	46740	56700	133170	115170	90790	56370	11010	58740	47910	79110	53510	107350	149150	111280	41410	14490	149390	58510	26970	47000	94860	38590	50590	72710	46010	41610	117030	129820	82780	67100	102200	60050	27490	86680	134390	104840	72880	69590	121970	74030	62890	38780	72080	55100	67550	19490	76890	63930	147360	18560	57750	102380	60470	55840	118180	91790	25910	20780	65540	54970	81560	123700	115580	132080	125241	36520	51730	26310	59920	124820	146040	32080	80800	158490	15840	84090	127510	73330	47600	67650	76700	110790	106221	74060	120870	141920	138850	90390	61590	104460	63680	94970	73580	46610	127860	87300	155800	86460	48530	50410	66490	90591	49270	27640	34610	97600	19930	45010	101980	3520	118460	56490	63880	85590	155860	92060	107420	47440	95750	91940	74090	64760	133570	143130	76960	62540	72800	151960	40480	93130	52910	78840	96000	
76570	79660	19990	136970	128371	161110	139910	0	133980	70740	78100	85530	33240	85900	53580	39800	22220	133190	158560	154150	91810	73031	52730	152080	133900	122580	148650	77090	166620	52850	10200	36410	165900	128560	33620	84960	153171	118080	114950	104290	133280	120490	107670	140410	83460	84550	151191	85390	64740	99320	116720	83170	111590	80490	169720	78310	65530	101330	145050	132610	89330	117220	75020	145560	63450	158940	29970	123600	138710	105261	80880	89800	51460	95840	115140	154910	75920	164990	135281	17350	100471	34270	104550	157560	109380	148591	145000	95961	90080	113651	148861	21190	137251	64720	78130	69280	150140	133610	72500	72410	61900	67290	67410	6120	32410	75860	82170	38060	153940	68230	87250	170710	55440	93260	25630	134940	96650	136600	114820	114580	93170	154791	110870	123070	146681	147310	82680	141870	60000	126090	81390	119670	32130	59580	75360	102760	158811	142140	112670	79220	43550	10270	145591	111820	78230	14660	106500	125860	135940	147471	47880	
63140	58980	152370	46850	43060	84891	21680	133080	0	111630	69320	86290	134201	54720	89701	157151	128430	44520	29720	36800	122070	120891	83760	35440	31440	73150	28780	83690	73090	106491	143130	108150	60760	13490	142360	62430	46550	61410	110680	30160	30020	57120	59860	20560	105970	119900	62320	72400	92770	72660	34760	77250	149560	95410	52980	60160	112540	61140	41840	57870	62650	69510	60520	11490	75560	43000	145251	22300	36790	116820	58160	58550	108750	104560	31550	20840	64360	74550	62210	117410	128770	122650	109651	56100	66100	45890	79010	137590	150543	45260	60720	153570	36270	85020	118080	72150	67180	48300	77630	116290	110141	71740	111440	135750	129420	95690	55790	97430	82770	85540	64150	65960	118430	76520	151250	101990	56890	69500	50900	75001	44480	46320	42230	113130	39510	64780	92550	19550	109030	41010	65670	70000	153751	83600	97990	60050	75670	72250	88460	64740	124140	136100	56880	76910	65960	147040	49500	75860	31590	58760	92870	
80200	85790	85140	88800	121280	162402	119910	69950	111560	0	53660	112780	101430	64520	86830	106401	49120	90260	127731	116740	21510	126530	64200	112140	121230	137240	115561	102770	163510	100610	73430	83800	156310	106150	61490	96720	141520	128520	149570	83700	93250	71130	118110	108851	14070	14250	92300	103690	30050	119020	107240	36210	168060	17320	128050	60660	6180	53360	103620	133820	49780	129980	69690	122610	75620	117280	98300	105250	97430	146440	79010	96000	30290	130830	102980	131960	87370	161260	78380	71130	150510	39650	35160	149620	121110	140270	152980	151270	156150	112960	89580	86340	127830	93860	7830	88050	149660	82700	92510	124410	110290	74020	3750	64870	43230	112050	77510	60520	159150	34910	51450	161910	18480	38880	90580	162870	105020	142270	69350	50820	79840	143020	105460	157690	134860	146830	20110	119660	18130	86940	95760	58210	97000	52210	14080	113750	96690	78900	139830	91550	31000	60660	88690	131530	75770	79810	107680	61710	95420	89940	78550	
